Auranofin,Cell viability,Agents
0.075,0.757649819,Mino
0.15,0.576285513,Mino
0.3,0.357401323,Mino
0.6,0.127993352,Mino
1.25,0.001756278,Mino
2.5,0.001768227,Mino
5,0.00265217,Mino
0.075,0.663541501,Mino
0.15,0.555786522,Mino
0.3,0.417793766,Mino
0.6,0.123033114,Mino
1.25,0.001886571,Mino
2.5,0.001862159,Mino
5,0.002924201,Mino
0.075,0.617273854,Mino
0.15,0.580028957,Mino
0.3,0.400129763,Mino
0.6,0.170589081,Mino
1.25,0.002279209,Mino
2.5,0.001825813,Mino
5,0.003108598,Mino
0.075,0.546081867,JVM2
0.15,0.601900466,JVM2
0.3,0.65872066,JVM2
0.6,0.45445013,JVM2
1.25,0.294155233,JVM2
2.5,0.078275361,JVM2
5,0.003636311,JVM2
0.15,0.861032316,JVM2
0.3,0.766125319,JVM2
0.6,0.53390164,JVM2
1.25,0.341873377,JVM2
2.5,0.098636976,JVM2
5,0.004505295,JVM2
0.075,0.759706498,JVM2
0.15,0.682681424,JVM2
0.3,0.597952085,JVM2
0.6,0.351615039,JVM2
1.25,0.294139606,JVM2
2.5,0.086565282,JVM2
5,0.004821043,JVM2
0.075,0.64990036,Rec-1
0.15,0.453135532,Rec-1
0.3,0.10596091,Rec-1
0.6,0.010676808,Rec-1
1.25,0.002263777,Rec-1
2.5,0.000976794,Rec-1
5,0.000666963,Rec-1
0.075,0.71573242,Rec-1
0.15,0.440992468,Rec-1
0.3,0.129788184,Rec-1
0.6,0.010226592,Rec-1
1.25,0.002202856,Rec-1
2.5,0.000799371,Rec-1
5,0.000719923,Rec-1
0.075,0.732824915,Rec-1
0.15,0.439519503,Rec-1
0.3,0.086624602,Rec-1
0.6,0.009962343,Rec-1
1.25,0.003518853,Rec-1
2.5,0.00113426,Rec-1
5,0.000779103,Rec-1